prob,log10.PO.,qval,alpha,fst
0.96695,1.4662,0.010326,2.1391,0.039769
0.9326,1.141,0.021741,1.7037,0.026812
0.9921,2.0989,0.0027501,1.9434,0.032515
0.99965,3.4558,0.00017501,2.2712,0.042567
1,1000,0,3.3169,0.10243
