ID1 ID2 kin k0 k2 nsnp relationship
TX_1113 TX_1114 0.449450964372481 0.0573253818581622 1.07880972811291 1619 fullsib
KEY_1381 KEY_1382 0.446739317760732 0.125629650658152 1.12504227226328 1423 fullsib
TX_1121 TX_1122 0.43972439174348 0.104748933644682 0.559751247212464 950 fullsib
PR_1063 PR_967 0.438247141335356 0.0691869467769788 1.03204282567244 940 fullsib
SCA_876 VZ_1021 0.277768065989414 0.702571037565174 -0.187071538926467 671 halfsib
MRT_1347 MRT_1349 0.196753655341663 0.426198317067841 0.189673551896808 927 halfsib
MRT_1349 TX_1132 0.196383293265468 0.577361694160872 0.140288037809368 981 halfsib
TX_1132 TX_1145 0.192489599695841 1.00960733874952 0.212362056089457 786 halfsib
TX_1132 VZ_708 0.191020185874462 0.707740937354567 0.0997808591575242 968 halfsib
TX_1132 TX_1134 0.183072828793838 0.460769952746407 0.0851266135768495 995 halfsib
MRT_1349 TX_1134 0.182982438784862 0.643570807040209 0.201549212455807 1022 halfsib
TX_1143 TX_1145 0.181305846074907 0.974818287218955 0.125000472719327 782 halfsib
