"","BRZ","KEY","LA","MRT","PNS","PR","SCA","TX","VZ"
"BRZ",0,0.0945995991763469,0.0786788163223472,0.0824374808856451,0.0852497263408316,0.0799489823460134,0.0770943929888812,0.0869507295314808,0.0792894787679723
"KEY",0.0945995991763469,0,0.0863885344766263,0.0861904157472253,0.0898996318517647,0.087714062875593,0.0856097277307128,0.0920546842721294,0.0860786238645063
"LA",0.0786788163223472,0.0863885344766263,0,0.0646166587792038,0.070250669130648,0.0657880452393026,0.0615298905002382,0.0743406662542,0.0619711460966915
"MRT",0.0824374808856451,0.0861904157472253,0.0646166587792038,0,0.0723169186665574,0.0695020282742285,0.0675970714357776,0.0757829848854925,0.066794428208219
"PNS",0.0852497263408316,0.0898996318517647,0.070250669130648,0.0723169186665574,0,0.0744341791580731,0.0710879138248002,0.0808555948673648,0.0719483995744169
"PR",0.0799489823460134,0.087714062875593,0.0657880452393026,0.0695020282742285,0.0744341791580731,0,0.066731034559641,0.0766529943847299,0.0664571201768528
"SCA",0.0770943929888812,0.0856097277307128,0.0615298905002382,0.0675970714357776,0.0710879138248002,0.066731034559641,0,0.073114184731776,0.0616205150610294
"TX",0.0869507295314808,0.0920546842721294,0.0743406662542,0.0757829848854925,0.0808555948673648,0.0766529943847299,0.073114184731776,0,0.0742984442083643
"VZ",0.0792894787679723,0.0860786238645063,0.0619711460966915,0.066794428208219,0.0719483995744169,0.0664571201768528,0.0616205150610294,0.0742984442083643,0
