sample_1,sample_2,identical,n
BRZ_1261,MRT_1332,0.76,1436
BRZ_1261,MRT_1333,0.86,1985
BRZ_1261,MRT_1334,0.77,1500
BRZ_1261,MRT_1335,0.87,1985
BRZ_1261,MRT_1336,0.87,1985
BRZ_1261,MRT_1337,0.87,1985
BRZ_1261,MRT_1338,0.79,1950
BRZ_1261,MRT_1339,0.77,1672
BRZ_1261,MRT_1340,0.8,1985
BRZ_1261,MRT_1341,0.86,1985
BRZ_1261,MRT_1342,0.78,1671
BRZ_1261,MRT_1343,0.78,1735
BRZ_1261,MRT_1347,0.79,1890
BRZ_1261,MRT_1348,0.79,1960
BRZ_1261,MRT_1349,0.83,1985
BRZ_1261,MRT_1350,0.77,1098
BRZ_1261,PNS_792,0.86,1985
BRZ_1261,PNS_793,0.86,1985
BRZ_1261,PNS_794,0.84,1985
BRZ_1261,PNS_795,0.8,1617
BRZ_1261,PNS_796,0.87,1985
BRZ_1261,PNS_797,0.86,1985
BRZ_1261,PNS_798,0.86,1985
BRZ_1261,PNS_799,0.86,1985
BRZ_1261,PNS_800,0.83,1985
BRZ_1261,PNS_801,0.86,1985
BRZ_1261,PNS_802,0.86,1985
BRZ_1261,PNS_803,0.86,1985
BRZ_1261,PNS_808,0.86,1985
BRZ_1261,PNS_809,0.86,1985
BRZ_1261,PNS_810,0.86,1985
BRZ_1261,PNS_811,0.87,1985
BRZ_1261,PNS_812,0.85,1985
BRZ_1261,PNS_813,0.86,1985
BRZ_1261,PNS_814,0.85,1985
BRZ_1261,PNS_815,0.87,1985
BRZ_1261,PNS_817,0.76,1169
BRZ_1261,PNS_818,0.86,1985
BRZ_1261,PNS_819,0.87,1985
BRZ_1261,PNS_821,0.84,1985
BRZ_1261,PNS_822,0.81,1490
BRZ_1261,PNS_823,0.87,1985
BRZ_1261,PNS_824,0.76,1237
BRZ_1261,PNS_825,0.78,1432
BRZ_1261,PNS_826,0.87,1985
BRZ_1261,PNS_827,0.87,1985
BRZ_1261,PNS_828,0.81,1068
BRZ_1261,PNS_829,0.87,1985
BRZ_1261,PNS_830,0.85,1985
BRZ_1261,PNS_831,0.87,1985
BRZ_1261,PNS_833,0.78,1842
BRZ_1261,PR_1038,0.84,1985
BRZ_1261,PR_1040,0.8,1265
BRZ_1261,PR_1041,0.81,1463
BRZ_1261,PR_1042,0.82,1870
BRZ_1261,PR_1043,0.85,1985
BRZ_1261,PR_1046,0.81,498
BRZ_1261,PR_1047,0.86,1985
BRZ_1261,PR_1050,0.86,1985
BRZ_1261,PR_1051,0.84,1985
BRZ_1261,PR_1052,0.86,1985
BRZ_1261,PR_1053,0.85,1985
BRZ_1261,PR_1054,0.83,1581
BRZ_1261,PR_1055,0.82,1837
BRZ_1261,PR_1056,0.86,1985
BRZ_1261,PR_1057,0.86,1985
BRZ_1261,PR_1058,0.81,1889
BRZ_1261,PR_1060,0.86,1985
BRZ_1261,PR_1061,0.82,1969
BRZ_1261,PR_1062,0.86,1985
BRZ_1261,PR_1063,0.79,1552
BRZ_1261,PR_945,0.86,1985
BRZ_1261,PR_946,0.81,1405
BRZ_1261,PR_947,0.79,1239
BRZ_1261,PR_948,0.77,618
BRZ_1261,PR_949,0.79,1604
BRZ_1261,PR_950,0.86,1985
BRZ_1261,PR_951,0.81,1741
BRZ_1261,PR_952,0.88,1985
BRZ_1261,PR_953,0.8,1940
BRZ_1261,PR_954,0.84,1985
BRZ_1261,PR_955,0.8,1868
BRZ_1261,PR_957,0.86,1985
BRZ_1261,PR_958,0.81,1985
BRZ_1261,PR_960,0.82,1985
BRZ_1261,PR_961,0.86,1985
BRZ_1261,PR_963,0.83,1985
BRZ_1261,PR_964,0.86,1985
BRZ_1261,PR_965,0.8,1870
BRZ_1261,PR_966,0.86,1985
BRZ_1261,PR_967,0.87,1985
BRZ_1261,PR_968,0.86,1985
BRZ_1261,PR_971,0.86,1985
BRZ_1261,PR_972,0.78,445
BRZ_1261,PR_973,0.75,589
BRZ_1261,PR_974,0.78,1363
BRZ_1261,PR_975,0.88,1985
BRZ_1261,PR_976,0.86,1985
BRZ_1261,PR_977,0.86,1985
BRZ_1261,PR_979,0.86,1985
BRZ_1261,SCA_1195,0.83,1985
BRZ_1261,SCA_1196,0.85,1985
BRZ_1261,SCA_1197,0.85,1985
BRZ_1261,SCA_1198,0.87,1985
BRZ_1261,SCA_1199,0.87,1985
BRZ_1261,SCA_1200,0.87,1985
BRZ_1261,SCA_1201,0.86,1985
BRZ_1261,SCA_1203,0.84,1985
BRZ_1261,SCA_1204,0.86,1985
BRZ_1261,SCA_1206,0.82,1985
BRZ_1261,SCA_1208,0.81,1574
BRZ_1261,SCA_1212,0.87,1985
BRZ_1261,SCA_1213,0.86,1985
BRZ_1261,SCA_1214,0.86,1985
BRZ_1261,SCA_1216,0.86,1985
BRZ_1261,SCA_1217,0.86,1985
BRZ_1261,SCA_1218,0.85,1985
BRZ_1261,SCA_1220,0.85,1985
BRZ_1261,SCA_1221,0.82,1955
BRZ_1261,SCA_1222,0.86,1985
BRZ_1261,SCA_1223,0.82,1927
BRZ_1261,SCA_1224,0.87,1985
BRZ_1261,SCA_1225,0.85,1985
BRZ_1261,SCA_1226,0.85,1985
BRZ_1261,SCA_1227,0.85,1985
BRZ_1261,SCA_1230,0.85,1985
BRZ_1261,SCA_1231,0.8,1866
BRZ_1261,SCA_1232,0.86,1985
BRZ_1261,SCA_1233,0.86,1985
BRZ_1261,SCA_1234,0.83,1440
BRZ_1261,SCA_1239,0.78,1446
BRZ_1261,SCA_1240,0.83,1356
BRZ_1261,SCA_848,0.87,1985
BRZ_1261,SCA_853,0.88,1005
BRZ_1261,SCA_854,0.86,1985
BRZ_1261,SCA_857,0.85,1076
BRZ_1261,SCA_869,0.81,467
BRZ_1261,SCA_871,0.82,1913
BRZ_1261,SCA_874,0.79,1546
BRZ_1261,SCA_876,0.83,1985
BRZ_1261,SCA_877,0.83,639
BRZ_1261,SCA_880,0.85,1985
BRZ_1261,SCA_896,0.86,1985
BRZ_1261,SCA_897,0.86,1985
BRZ_1261,SCA_914,0.85,699
BRZ_1261,SCA_915,0.85,569
BRZ_1261,SCA_916,0.86,1985
BRZ_1261,SCA_917,0.84,1985
BRZ_1261,SCA_918,0.84,1985
BRZ_1261,SCA_919,0.83,1632
BRZ_1261,SCA_920,0.81,1361
BRZ_1261,SCA_921,0.84,1985
BRZ_1261,SCA_922,0.87,1985
BRZ_1261,SCA_923,0.83,551
BRZ_1261,SCA_924,0.86,1985
BRZ_1261,SCA_925,0.86,1985
BRZ_1261,SCA_926,0.85,1985
BRZ_1261,SCA_927,0.87,1985
BRZ_1261,SCA_929,0.85,1985
BRZ_1261,SCA_930,0.87,1985
BRZ_1261,SCA_931,0.87,1985
BRZ_1261,SCA_932,0.84,1907
BRZ_1261,SCA_933,0.85,1985
BRZ_1261,TX_1098,0.84,1985
BRZ_1261,TX_1099,0.86,1985
BRZ_1261,TX_1100,0.87,1985
BRZ_1261,TX_1101,0.86,1985
BRZ_1261,TX_1104,0.81,1227
BRZ_1261,TX_1105,0.87,1985
BRZ_1261,TX_1107,0.85,1985
BRZ_1261,TX_1109,0.81,1280
BRZ_1261,TX_1110,0.87,1985
BRZ_1261,TX_1111,0.87,1985
BRZ_1261,TX_1113,0.87,1985
BRZ_1261,TX_1114,0.87,1985
BRZ_1261,TX_1120,0.85,1985
BRZ_1261,TX_1121,0.81,1687
BRZ_1261,TX_1122,0.85,1985
BRZ_1261,TX_1123,0.86,1985
BRZ_1261,TX_1125,0.86,1985
BRZ_1261,TX_1126,0.86,1985
BRZ_1261,TX_1127,0.85,1985
BRZ_1261,TX_1128,0.86,1985
BRZ_1261,TX_1130,0.85,1985
BRZ_1261,TX_1131,0.86,1985
BRZ_1261,TX_1132,0.84,1985
BRZ_1261,TX_1133,0.85,1985
BRZ_1261,TX_1134,0.83,1985
BRZ_1261,TX_1135,0.83,1985
BRZ_1261,TX_1136,0.84,1985
BRZ_1261,TX_1137,0.77,943
BRZ_1261,TX_1138,0.82,1985
BRZ_1261,TX_1139,0.79,771
BRZ_1261,TX_1140,0.79,1905
BRZ_1261,TX_1141,0.79,1473
BRZ_1261,TX_1142,0.8,1649
BRZ_1261,TX_1143,0.81,1985
BRZ_1261,TX_1144,0.79,1785
BRZ_1261,TX_1145,0.81,1542
BRZ_1261,TX_1146,0.81,1985
BRZ_1261,VZ_1000,0.85,1985
BRZ_1261,VZ_1001,0.82,1985
BRZ_1261,VZ_1002,0.87,1985
BRZ_1261,VZ_1004,0.86,1985
BRZ_1261,VZ_1005,0.86,1985
BRZ_1261,VZ_1006,0.8,1896
BRZ_1261,VZ_1007,0.8,1237
BRZ_1261,VZ_1009,0.83,1260
BRZ_1261,VZ_1010,0.86,1985
BRZ_1261,VZ_1019,0.85,1985
BRZ_1261,VZ_1020,0.8,1814
BRZ_1261,VZ_1021,0.8,1833
BRZ_1261,VZ_1022,0.76,1215
BRZ_1261,VZ_1026,0.82,1348
BRZ_1261,VZ_1027,0.87,1985
BRZ_1261,VZ_1029,0.87,1985
BRZ_1261,VZ_670,0.8,919
BRZ_1261,VZ_671,0.88,1985
BRZ_1261,VZ_672,0.87,1985
BRZ_1261,VZ_673,0.86,1985
BRZ_1261,VZ_674,0.86,1985
BRZ_1261,VZ_675,0.86,1985
BRZ_1261,VZ_676,0.8,1704
BRZ_1261,VZ_677,0.86,1985
BRZ_1261,VZ_678,0.86,1985
BRZ_1261,VZ_679,0.85,1985
BRZ_1261,VZ_680,0.86,1985
BRZ_1261,VZ_681,0.87,1985
BRZ_1261,VZ_682,0.86,1985
BRZ_1261,VZ_683,0.85,1181
BRZ_1261,VZ_684,0.87,1985
BRZ_1261,VZ_685,0.87,1985
BRZ_1261,VZ_686,0.86,1985
BRZ_1261,VZ_687,0.86,1985
BRZ_1261,VZ_688,0.87,1985
BRZ_1261,VZ_689,0.87,1985
BRZ_1261,VZ_690,0.88,1985
BRZ_1261,VZ_691,0.86,1985
BRZ_1261,VZ_692,0.81,1627
BRZ_1261,VZ_693,0.85,1985
BRZ_1261,VZ_694,0.87,1985
BRZ_1261,VZ_695,0.78,1647
BRZ_1261,VZ_701,0.87,1985
BRZ_1261,VZ_702,0.86,1985
BRZ_1261,VZ_703,0.86,1985
BRZ_1261,VZ_704,0.77,916
BRZ_1261,VZ_705,0.86,1985
BRZ_1261,VZ_706,0.84,1985
BRZ_1261,VZ_707,0.86,1985
BRZ_1261,VZ_708,0.82,1985
BRZ_1261,VZ_709,0.8,1147
BRZ_1261,VZ_992,0.84,1523
BRZ_1261,VZ_993,0.84,1200
BRZ_1261,VZ_994,0.81,1095
BRZ_1261,VZ_995,0.8,1919
BRZ_1261,VZ_996,0.81,1898
BRZ_1261,VZ_997,0.85,1985
BRZ_1261,VZ_999,0.81,532
BRZ_1262,BRZ_1265,0.69,1050
BRZ_1262,BRZ_1269,0.87,1486
BRZ_1262,BRZ_1270,0.87,1486
BRZ_1262,BRZ_1271,0.86,1486
BRZ_1262,BRZ_1275,0.78,1486
BRZ_1262,BRZ_1276,0.84,1486
BRZ_1262,BRZ_1278,0.69,1317
BRZ_1262,BRZ_1283,0.68,1219
BRZ_1262,BRZ_1461,0.82,1486
BRZ_1262,BRZ_1464,0.69,678
BRZ_1262,BRZ_1465,0.86,1486
BRZ_1262,BRZ_1466,0.77,1486
BRZ_1262,BRZ_1468,0.84,1486
BRZ_1262,BRZ_1469,0.56,637
BRZ_1262,BRZ_1470,0.77,1486
BRZ_1262,BRZ_1472,0.57,637
BRZ_1262,BRZ_1473,0.7,1486
BRZ_1262,BRZ_1479,0.86,1486
BRZ_1262,BRZ_1480,0.86,1486
BRZ_1262,BRZ_1481,0.87,1486
BRZ_1262,BRZ_1483,0.67,1437
BRZ_1262,BRZ_1485,0.86,1486
BRZ_1262,BRZ_1486,0.81,1486
BRZ_1262,BRZ_1487,0.85,1486
BRZ_1262,BRZ_1488,0.86,1486
BRZ_1262,BRZ_1489,0.86,1486
BRZ_1262,BRZ_1490,0.7,445
BRZ_1262,BRZ_1503,0.8,1486
BRZ_1262,BRZ_1435,0.65,1389
BRZ_1262,BRZ_1436,0.69,1310
BRZ_1262,BRZ_1437,0.86,1486
BRZ_1262,BRZ_1438,0.86,1486
BRZ_1262,BRZ_1439,0.85,1486
BRZ_1262,BRZ_1440,0.86,1486
BRZ_1262,BRZ_1441,0.87,1486
BRZ_1262,BRZ_1442,0.68,1317
BRZ_1262,BRZ_1443,0.86,1486
BRZ_1262,BRZ_1444,0.87,1486
BRZ_1262,BRZ_1445,0.86,1486
BRZ_1262,BRZ_1446,0.86,1486
BRZ_1262,BRZ_1447,0.86,1486
BRZ_1262,BRZ_1448,0.87,1486
BRZ_1262,BRZ_1449,0.82,1486
BRZ_1262,BRZ_1450,0.8,1486
BRZ_1262,BRZ_1459,0.87,1486
BRZ_1262,BRZ_1509,0.64,956
BRZ_1262,BRZ_1510,0.86,1486
BRZ_1262,BRZ_1511,0.87,1486
BRZ_1262,KEY_1155,0.84,1486
BRZ_1262,KEY_1156,0.85,1486
BRZ_1262,KEY_1157,0.6,1408
BRZ_1262,KEY_1158,0.87,1486
BRZ_1262,KEY_1159,0.84,1486
BRZ_1262,KEY_1160,0.86,1486
BRZ_1262,KEY_1163,0.87,1486
BRZ_1262,KEY_1164,0.78,1486
BRZ_1262,KEY_1165,0.85,1486
BRZ_1262,KEY_1166,0.85,1486
BRZ_1262,KEY_1167,0.87,1486
BRZ_1262,KEY_1168,0.86,1486
BRZ_1262,KEY_1169,0.86,1486
BRZ_1262,KEY_1170,0.8,1486
BRZ_1262,KEY_1171,0.84,1486
BRZ_1262,KEY_1172,0.87,1486
BRZ_1262,KEY_1173,0.88,1486
BRZ_1262,KEY_1174,0.84,1486
BRZ_1262,KEY_1175,0.86,1486
BRZ_1262,KEY_1176,0.85,1486
BRZ_1262,KEY_1177,0.87,1486
BRZ_1262,KEY_1178,0.87,1486
BRZ_1262,KEY_1179,0.71,1486
BRZ_1262,KEY_1180,0.71,1486
BRZ_1262,KEY_1181,0.66,1486
BRZ_1262,KEY_1182,0.69,1364
BRZ_1262,KEY_1183,0.87,1486
BRZ_1262,KEY_1184,0.85,1486
BRZ_1262,KEY_1185,0.81,1486
BRZ_1262,KEY_1186,0.8,1486
BRZ_1262,KEY_1187,0.76,1486
BRZ_1262,KEY_1188,0.85,1486
BRZ_1262,KEY_1189,0.85,1486
BRZ_1262,KEY_1190,0.62,670
BRZ_1262,KEY_1191,0.87,1486
BRZ_1262,KEY_1193,0.61,1436
BRZ_1262,KEY_1370,0.84,1486
BRZ_1262,KEY_1371,0.87,1486
BRZ_1262,KEY_1372,0.76,1486
BRZ_1262,KEY_1373,0.81,1486
BRZ_1262,KEY_1374,0.68,1486
BRZ_1262,KEY_1375,0.86,1486
BRZ_1262,KEY_1376,0.73,1486
BRZ_1262,KEY_1377,0.85,1486
BRZ_1262,KEY_1378,0.86,1486
BRZ_1262,KEY_1379,0.86,1486
BRZ_1262,KEY_1381,0.78,1486
BRZ_1262,KEY_1382,0.85,1486
BRZ_1262,KEY_1383,0.62,1486
BRZ_1262,KEY_1391,0.59,467
BRZ_1262,KEY_1392,0.66,1486
BRZ_1262,KEY_1393,0.82,1486
BRZ_1262,KEY_1396,0.66,1486
BRZ_1262,KEY_1397,0.84,1486
BRZ_1262,KEY_1398,0.63,1451
BRZ_1262,KEY_1399,0.84,1486
BRZ_1262,KEY_1403,0.82,1486
BRZ_1262,KEY_1404,0.87,1486
BRZ_1262,KEY_1405,0.85,1486
BRZ_1262,KEY_1406,0.85,1486
BRZ_1262,KEY_1407,0.85,1486
BRZ_1262,KEY_1409,0.86,1486
BRZ_1262,KEY_1410,0.87,1486
BRZ_1262,KEY_1411,0.85,1486
BRZ_1262,MRT_1299,0.87,1486
BRZ_1262,MRT_1300,0.88,1486
BRZ_1262,MRT_1301,0.8,1486
BRZ_1262,MRT_1302,0.69,1486
BRZ_1262,MRT_1303,0.86,1486
BRZ_1262,MRT_1304,0.73,1486
BRZ_1262,MRT_1305,0.87,1486
BRZ_1262,MRT_1306,0.86,1486
BRZ_1262,MRT_1307,0.87,1486
BRZ_1262,MRT_1308,0.86,1486
BRZ_1262,MRT_1309,0.86,1486
BRZ_1262,MRT_1310,0.86,1486
BRZ_1262,MRT_1315,0.86,1486
BRZ_1262,MRT_1316,0.87,1486
BRZ_1262,MRT_1317,0.86,1486
BRZ_1262,MRT_1318,0.86,1486
BRZ_1262,MRT_1319,0.87,1486
BRZ_1262,MRT_1320,0.87,1486
BRZ_1262,MRT_1321,0.86,1486
BRZ_1262,MRT_1322,0.86,1486
BRZ_1262,MRT_1323,0.88,1486
BRZ_1262,MRT_1324,0.85,1486
BRZ_1262,MRT_1325,0.86,1486
BRZ_1262,MRT_1326,0.87,1486
BRZ_1262,MRT_1327,0.85,1486
BRZ_1262,MRT_1328,0.85,1486
BRZ_1262,MRT_1329,0.85,1486
BRZ_1262,MRT_1330,0.61,1468
BRZ_1262,MRT_1331,0.61,1286
BRZ_1262,MRT_1332,0.6,1436
BRZ_1262,MRT_1333,0.86,1486
BRZ_1262,MRT_1334,0.6,1486
BRZ_1262,MRT_1335,0.87,1486
BRZ_1262,MRT_1336,0.86,1486
BRZ_1262,MRT_1337,0.87,1486
BRZ_1262,MRT_1338,0.77,1486
BRZ_1262,MRT_1339,0.66,1486
BRZ_1262,MRT_1340,0.8,1486
BRZ_1262,MRT_1341,0.86,1486
BRZ_1262,MRT_1342,0.67,1486
BRZ_1262,MRT_1343,0.69,1486
BRZ_1262,MRT_1347,0.76,1486
BRZ_1262,MRT_1348,0.8,1486
BRZ_1262,MRT_1349,0.84,1486
BRZ_1262,MRT_1350,0.6,1098
